Speed_mph,Cumulative_s,Time_seconds,Distance_miles,Sector
79,8.417,0.0660000000000007,0.00144833333333335,Two
78,8.483,0.0660000000000007,0.00143000000000002,Two
77,8.549,0.0660000000000007,0.00141166666666668,Two
76,8.615,0.134999999999998,0.00284999999999996,Two
75,8.75,0.0999999999999997,0.00208333333333333,Two
74,8.85,0.0670000000000002,0.00137722222222223,Two
73,8.917,0.0660000000000007,0.00133833333333335,Two
74,8.983,0.0670000000000002,0.00137722222222223,Two
77,9.05,0.0670000000000002,0.00143305555555556,Two
80,9.117,0.065999999999999,0.00146666666666664,Two
82,9.183,0.0670000000000002,0.00152611111111112,Two
83,9.25,0.0660000000000007,0.00152166666666668,Two
84,9.316,0.0670000000000002,0.00156333333333334,Two
85,9.383,0.0660000000000007,0.00155833333333335,Two
87,9.449,0.0670000000000002,0.00161916666666667,Two
88,9.516,0.0660000000000007,0.00161333333333335,Two
86,9.582,0.0670000000000002,0.00160055555555556,Two
87,9.649,0.0660000000000007,0.00159500000000002,Two
88,9.715,0.0670000000000002,0.00163777777777778,Two
90,9.782,0.0660000000000007,0.00165000000000002,Two
91,9.848,0.134999999999996,0.00341249999999991,Two
92,9.983,0.0670000000000002,0.00171222222222223,Two
93,10.05,0.0670000000000002,0.00173083333333334,Two
94,10.117,0.199999999999999,0.0052222222222222,Two
93,10.317,0.132999999999999,0.00343583333333331,Two
92,10.45,0.133000000000001,0.00339888888888891,Two
91,10.583,0.0670000000000002,0.00169361111111112,Two
92,10.65,0.333,0.00851000000000001,Two
93,10.983,0.199999999999999,0.00516666666666665,Two
94,11.183,0.199999999999999,0.0052222222222222,Two
93,11.383,0.0670000000000002,0.00173083333333334,Two
94,11.45,0.0670000000000002,0.00174944444444445,Two
95,11.517,0.0330000000000013,0.000870833333333366,Two
98,11.55,0.0329999999999995,0.000898333333333319,Two
100,11.583,0.0839999999999996,0.00233333333333332,Two
101,11.667,0.0660000000000007,0.00185166666666669,Two
102,11.733,0.134,0.00379666666666668,Two
103,11.867,0.132999999999999,0.00380527777777775,Three
104,12,0.132999999999999,0.0038422222222222,Three
105,12.133,0.267000000000001,0.00778750000000004,Three
106,12.4,0.132999999999999,0.00391611111111108,Three
105,12.533,0.267000000000001,0.00778750000000004,Three
104,12.8,0.132999999999999,0.0038422222222222,Three
103,12.933,0.0670000000000002,0.00191694444444445,Three
102,13,0.0670000000000002,0.00189833333333334,Three
101,13.067,0.065999999999999,0.00185166666666664,Three
100,13.133,0.134,0.00372222222222223,Three
99,13.267,0.133000000000001,0.00365750000000002,Three
98,13.4,0.199999999999999,0.00544444444444442,Three
97,13.6,0.200000000000001,0.00538888888888892,Three
96,13.8,0.132999999999999,0.00354666666666664,Three
95,13.933,0.134,0.00353611111111112,Three
94,14.067,0.132999999999999,0.00347277777777775,Three
92,14.2,0.133000000000001,0.00339888888888891,Three
91,14.333,0.209,0.00528305555555555,Three
90,14.542,0.191000000000001,0.00477500000000002,Three
89,14.733,0.266999999999999,0.00660083333333332,Three
88,15,0.0670000000000002,0.00163777777777778,Three
86,15.067,0.065999999999999,0.00157666666666664,Three
83,15.133,0.0670000000000002,0.00154472222222223,Three
81,15.2,0.0670000000000002,0.0015075,Three
79,15.267,0.0660000000000007,0.00144833333333335,Three
76,15.333,0.0670000000000002,0.00141444444444445,Three
70,15.4,0.0670000000000002,0.00130277777777778,Three
69,15.467,0.0660000000000007,0.00126500000000001,Three
68,15.533,0.0669999999999984,0.00126555555555553,Three
