Speed_mph,Time_seconds,Cumulative_Time,Distance_miles,Sector
81,0.065999999999999,10.3,0.00148499999999998,
82,0.0340000000000025,10.334,0.000774444444444501,
83,0.0329999999999977,10.367,0.00076083333333328,
84,0.100000000000001,10.467,0.00233333333333337,
83,0.0999999999999979,10.567,0.00230555555555551,
82,0.0330000000000013,10.6,0.000751666666666695,
81,0.0670000000000002,10.667,0.0015075,
80,0.0670000000000002,10.734,0.00148888888888889,
79,0.0330000000000013,10.767,0.000724166666666694,
78,0.0329999999999977,10.8,0.00071499999999995,
77,0.0340000000000025,10.834,0.000727222222222275,
75,0.0330000000000013,10.867,0.000687500000000026,
74,0.0330000000000013,10.9,0.000678333333333359,
73,0.0339999999999989,10.934,0.000689444444444423,
72,0.0330000000000013,10.967,0.000660000000000025,
71,0.0330000000000013,11.,0.000650833333333358,
69,0.0339999999999989,11.034,0.000651666666666646,
68,0.265999999999995,11.3,0.00502444444444434,
69,0.100000000000001,11.4,0.00191666666666669,
70,0.0670000000000002,11.467,0.00130277777777778,
71,0.0670000000000002,11.534,0.00132138888888889,
72,0.065999999999999,11.6,0.00131999999999998,
73,0.0670000000000002,11.667,0.00135861111111111,
74,0.0330000000000013,11.7,0.000678333333333359,
75,0.266999999999999,11.967,0.00556249999999999,
76,0.132999999999999,12.1,0.00280777777777776,
75,0.0339999999999989,12.134,0.000708333333333311,
74,0.0660000000000025,12.2,0.00135666666666672,
75,0.0339999999999989,12.234,0.000708333333333311,
77,0.0330000000000013,12.267,0.00070583333333336,
78,0.0329999999999977,12.3,0.00071499999999995,
79,0.0340000000000025,12.334,0.000746111111111165,
80,0.065999999999999,12.4,0.00146666666666664,
81,0.0670000000000002,12.467,0.0015075,
82,0.0329999999999977,12.5,0.000751666666666614,
83,0.0670000000000002,12.567,0.00154472222222223,
84,0.0670000000000002,12.634,0.00156333333333334,
85,0.0660000000000025,12.7,0.00155833333333339,
86,0.0670000000000002,12.767,0.00160055555555556,
87,0.0670000000000002,12.834,0.00161916666666667,
88,0.0329999999999977,12.867,0.00080666666666661,
89,0.0670000000000002,12.934,0.00165638888888889,
90,0.100000000000001,13.034,0.00250000000000004,
91,0.065999999999999,13.1,0.00166833333333331,
92,0.100000000000001,13.2,0.00255555555555559,
93,0.134,13.334,0.00346166666666668,
92,0.065999999999999,13.4,0.00168666666666664,
89,0.233999999999998,13.634,0.00578499999999996,
91,0.100000000000001,13.734,0.00252777777777781,
92,0.227,13.961,0.00580111111111112,
